Pflanzen Weiglein GmbH, Wiesentheid, Germany: info@pflanzen-weiglein.de
Markgräflich Badische Forst GmbH & Co. KG, Salem, Germany: Not Found
Viehvermarktungsgemeinschaft Aller-Weser-Hunte eG, Asendorf, Germany: service@vvg-awh.de
Hofgut Rosenau GmbH, Dreieich, Germany: info@hofgut-rosenau.com
Agro-Team Unseburg GmbH, Bördeaue, Germany: info@atuplus.de
Agraset - Agrargenossenschaft eG Naundorf bei Rochlitz, Erlau, Germany: info@agraset.de
Bohnhorst Landhandel GmbH, Steimbke, Germany: Not Found
Raiffeisen Bezugs- und Absatzgenossenschaft eG, Kirchberg (Hunsrück), Germany: info@buakirchberg.de
Gut Wamckow GmbH & Co. KG, Kobrow, Germany: info@gut-wamckow.de
Gut Barz GmbH & Co. KG, Dahmen, Germany: Not Found
Ducherower Agrar-GmbH & Co. KG, Ducherow, Germany: sekretariat@ducherow-agrar.de
Schönegger Käse-Alm GmbH, Prem, Germany: versand@schoenegger.com
Landboden-Parmen Treuhand GmbH, Nordwestuckermark, Germany: Not Found
Agrar-Produkte eG Spornitz, Spornitz, Germany: mail@argrar-spornitz.de
Agrargenossenschaft Freyenstein und Umgebung eG, Wittstock/Dosse, Germany: Not Found
Agrarprodukte Dedelow GmbH, Prenzlau, Germany: agrarproduktededelow@freenet.de
AgriKultur Kröpelin GmbH, Kröpelin, Germany: info-akk@agrikultur.land
MASTERRIND Hannover eG, Verden, Germany: info@nordrind.de
Agrarproduktion Bandelin GmbH, Bandelin, Germany: Not Found
Agrargenossenschaft Uckermark agrar eG, Göritz, Germany: Not Found
Rinderzucht Schleswig-Holstein eG, Neumünster, Germany: rsheg@rsheg.de
raiwa eG, Müden, Germany: info@raiwa.net
Wariner Pflanzenbau eG, Jesendorf, Germany: Not Found
Gestüt Sprehe GmbH, Löningen, Germany: pferde@sprehe.de
Harslebener Agrargenossenschaft eG, Harsleben, Germany: info@harleb-hag.de
Agrarunternehmen Barnstädt eG, Nemsdorf-Göhrendorf, Germany: info@aub-online.de
Zuckervertriebsgesellschaft der Baltischen Rübenzuckerfabriken GmbH, Satow, Germany: Not Found
Agrargenossenschaft Kamsdorf eG, Unterwellenborn, Germany: agrargen.kamsdorf@t-online.de
LIHA Agrarprodukte GmbH, Thalmassing, Germany: mail@liha-gmbh.de
Beerbaum Stables GmbH, Hörstel, Germany: info@beerbaum-stables.com
RUDLOFF GmbH, Sereetz, Germany: info@rudloff.de
Anthura Arndt GmbH, Borken, Germany: Not Found
Lübars-Agrar-GmbH, Hohenziatz, Germany: Not Found
Agrarunternehmen Starbach-Sachsen eG, Nossen, Germany: ass@agrar-starbach.de
Raiffeisen Handelsgenossenschaft Mittelsachsen eG, Leisnig, Germany: info@rhglo.de
Schweinezucht Alt Tellin GmbH, Jerichow, Germany: Not Found
Agrar-Produktionsgenossenschaft Klein Sien eG, Jürgenshagen, Germany: Not Found
Agrargenossenschaft Gleina eG, Gleina, Germany: info@agrargenossenschaft.de
Agrargenossenschaft eG Kirchheilingen, Kirchheilingen, Germany: agrar.kirchheilingen@t-online.de
SAG Agrargesellschaft mbH & Co. KG, Sarstedt, Germany: Not Found
Erzeugergemeinschaft Molkereigenossenschaft Cham eG, Cham, Germany: Not Found
Windpark Nuscheler GmbH & Co. KG, Salzatal, Germany: office@landgut-nuscheler.de
Agrargesellschaft Ruppendorf AG, Klingenberg, Germany: verwaltung@agr-ag.de
Meierei Wasbek eG, Wasbek, Germany: meierei-wasbek@t-online.de
Seydaland Agrar GmbH, Jessen (Elster), Germany: Not Found
Agrarunternehmen Lommatzscher Pflege eG, Lommatzsch, Germany: Not Found
ATU Landbau GmbH & Co. KG, Munich, Germany: Not Found
Klima Waldgesellschaft mbH, Ganderkesee, Germany: info@mm-energie.de
Güterverwaltung Friedenfels GmbH & Co. KG, Friedenfels, Germany: info@friedenfelser.de
Greenline International GmbH, Neuss, Germany: Not Found
Agrarprodukte Kitzen eG, Pegau, Germany: info@agrarprodukte-kitzen.de
Agrargesellschaft Kandelin GmbH, Süderholz, Germany: info@agrarkandelin.de
Grundstücks- Entwicklungsgesellschaft Lange mbH, Albstedt, Germany: lange-jens-albstedt@t-online.de
Agrargenossenschaft eG Hedersleben, Hedersleben, Germany: agrar@agrar-hedersleben.eu
NORDDEUTSCHE ERDGAS-AUFBEREITUNGS-GmbH, Steyerberg, Germany: Not Found
Reitsportanlage Dagobertshausen GmbH & Co. KG, Marburg, Germany: Not Found
Agrar Terminal Peter Rothe GmbH, Hamburg, Germany: agrar-terminal@getreide-ag.de
Erzeuger - Genossenschaft Neumark eG, Neumark, Germany: zentrale@egneumark.de
Van der Velde Agrar GmbH, Bördeaue, Germany: h.geist@vandervelde-agrar.de
Agrargenossenschaft Havelland - agrar eG Weseram, Roskow, Germany: info@havelland-weseram.de
Agrargenossenschaft Wörlitz eG, Oranienbaum, Germany: agw@agrar-woerlitz.de
Agrarhof Brüel eG, Brüel, Germany: agrarhof-brueel@t-online.de
Agrarhof Brüel GmbH, Brüel, Germany: agrarhof-brueel@t-online.de
Bauernland Agraraktiengesellschaft, Großolbersdorf, Germany: Not Found
Landwirtschaftliche Erzeugergesellschaft Wichmannsdorf mbH, Boitzenburg, Germany: land-wi@t-online.de
Gut Recknitztal GmbH, Semlow, Germany: Not Found
Vorpommersche Land AG Reinkenhagen, Sundhagen, Germany: Not Found
Börde Puten GmbH, Oschersleben (Bode), Germany: Not Found
Agrar Süd-Rügen GmbH, Gustow, Germany: Not Found
Landwirtschaftlicher Milchhof Am Recknitztal eG, Dolgen a. See, Germany: Not Found
Kartoffelkontor Böhm GmbH, Lüneburg, Germany: info@europlant-potato.de
Molkereigenossenschaft Hohenlohe-Franken eG, Schrozberg, Germany: info@molkerei-schrozberg.de
RinderAllianz GmbH, Woldegk, Germany: woldegk@rinderallianz.de
Ceres Landwirtschafts GmbH & Co. KG, Roggenstorf, Germany: Not Found
Hybro Saatzucht GmbH & Co. KG, Schenkenberg, Germany: kleptow@hybro.de
Bioerdgas Hallertau GmbH, Wolnzach, Germany: info@bioerdgas-hallertau.de
Agrargenossenschaft Bad Dürrenberg eG, Bad Dürrenberg, Germany: info@ag-badduerrenberg.de
Golden-Geest-Kartoffeln Erzeugergesellschaft mbH, Wildeshausen, Germany: info@goldengeest.de
Agrargenossenschaft Höhnstedt eG, Salzatal, Germany: ag-hoehnstedt-fibu@t-online.de
Storengy Deutschland Betrieb GmbH, Hanover, Germany: info@storengy-speicher.de
Peeneland Agrar GmbH, Wolgast, Germany: peeneland-hohendorf@t-online.de
Litos FFM Colmarer GmbH & Co. KG, Pöcking, Germany: Not Found
TERRA Agrar AG, Wustermark, Germany: info@terra-agrar.de
Agrargenossenschaft Querfurt eG, Querfurt, Germany: info@ag-querfurt.de
DVA Agro GmbH, Hamburg, Germany: info@dva-group.com
Agrargenossenschaft Burgwerben eG, Weißenfels, Germany: zentrale@agrar-burgwerben.de
Rinderbesamungs-Genossenschaft Memmingen eG, Memmingen, Germany: info@rbgmm.de
Gut Miekenhagen Brüns GmbH & Co. KG, Satow, Germany: Not Found
Milchliefergenossenschaft Altmark eG, Bismark (Altmark), Germany: mgosterburg@web.de
Bayern-Genetik GmbH, Kumhausen, Germany: landshut@bayern-genetik.de
Sächsisches Staatsweingut GmbH, Radebeul, Germany: kontakt@schloss-wackerbarth.de
Aalberts-Krap GmbH, Lalendorf, Germany: Not Found
Windpark-Abens-Nord GmbH & Co. KG, Wittmund, Germany: Not Found
Osterland Landwirtschaftsgesellschaft mbH Teuchern, Teuchern, Germany: info@osterland-teuchern.de
Biogas Produktion Seelow GmbH, Seelow, Germany: info@ktg-agrar.de
Biogas Produktion Röblingen GmbH, Seegebiet Mansfelder Land, Germany: Not Found
Thiermann Gartenbaubetriebe GmbH & Co. KG, Kirchdorf, Germany: info@thiermannspargel.de
